index,name,x,y,demand
demand0,Pipe Benders,95.67096378146103,83.52921535893155,28
demand1,Traveling Salesperson Agency,126.11172498465316,89.42904841402338,27
demand2,ReLU Realty,190.72068753836712,72.661101836394,25
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,4
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,23
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,5
demand15,MILP Mart,176.7427869858809,186.93155258764608,57
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,48
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,46
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,16
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,36
demand20,Complex Complex,239.48802946593003,246.86143572621037,36
demand34,Scheduling Station,359.3873542050338,363.9265442404007,27
demand35,Elastic Net Fishing Supplies,437.66359729895646,354.61101836393993,5
demand37,Numerical Issues Zoo,315.90055248618785,445.28213689482476,23
demand38,Multi-Threads Thrift Store,416.23081645181094,442.7979966611019,49
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,27
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,28
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,46
demand49,Big-M Market,241.9729895641498,421.68280467445743,24
demand53,Gu Library,278.62615101289134,105.57595993322204,44
