demand_node_index,truck_node_index,distance,scaled_demand
demand0,truck1,104.79204578414127,27
demand0,truck7,84.9690140143737,28
demand0,truck8,136.31590906143782,23
demand0,truck9,208.09082027454062,13
demand0,truck10,308.8932789096301,0
demand0,truck11,333.7323434154395,0
demand0,truck12,231.98561182628265,10
demand0,truck14,207.25030701282463,13
demand0,truck22,346.2684093900332,0
demand0,truck23,267.68266829616846,5
demand0,truck27,376.39983467277483,0
demand0,truck29,511.7259178233715,0
demand0,truck30,519.2489095551751,0
demand0,truck33,626.7910269481345,0
demand0,truck35,553.8284512969759,0
demand0,truck36,576.8418099894953,0
demand0,truck40,485.03197941375294,0
demand0,truck42,661.7069340263463,0
demand0,truck45,676.2982804710972,0
demand0,truck46,706.4882667222086,0
demand0,truck48,801.0069335818434,0
demand0,truck49,774.0001485123429,0
demand0,truck53,337.25591604200184,0
demand0,truck44,472.38760140714214,0
demand0,truck47,486.34837519672453,0
demand0,truck55,675.7706111597934,0
demand1,truck1,120.71009529146576,24
demand1,truck7,81.4752662509253,27
demand1,truck8,132.82216129798942,23
demand1,truck9,204.59707251109222,13
demand1,truck10,305.39953114618174,0
demand1,truck11,330.23859565199115,0
demand1,truck12,228.49186406283425,10
demand1,truck14,203.75655924937624,13
demand1,truck22,342.7746616265848,0
demand1,truck23,264.18892053272003,5
demand1,truck27,372.9060869093264,0
demand1,truck29,508.2321700599231,0
demand1,truck30,515.7551617917267,0
demand1,truck33,623.297279184686,0
demand1,truck35,550.3347035335274,0
demand1,truck36,573.3480622260469,0
demand1,truck40,481.53823165030445,0
demand1,truck42,658.2131862628978,0
demand1,truck45,672.8045327076487,0
demand1,truck46,702.9945189587601,0
demand1,truck48,797.513185818395,0
demand1,truck49,770.5064007488944,0
demand1,truck53,333.7621682785534,0
demand1,truck44,468.8938536436937,0
demand1,truck47,482.8546274332761,0
demand1,truck55,672.2768633963449,0
demand2,truck1,231.10864039106482,9
demand2,truck7,161.8319905174385,17
demand2,truck8,113.77854156039554,23
demand2,truck9,111.96374968712873,24
demand2,truck10,212.76620832221823,11
demand2,truck11,176.4806383321785,15
demand2,truck12,74.73390674302166,25
demand2,truck14,186.66370020319573,14
demand2,truck22,250.14133880262133,6
demand2,truck23,247.09606148653955,7
demand2,truck27,355.8132278631459,0
demand2,truck29,417.79710871686734,0
demand2,truck30,425.3201004486709,0
demand2,truck33,532.8622178416304,0
demand2,truck35,459.8996421904717,0
demand2,truck36,482.9837096927662,0
demand2,truck40,464.445372604124,0
demand2,truck42,567.8488337296171,0
demand2,truck45,582.369471364593,0
demand2,truck46,612.5594576157043,0
demand2,truck48,707.0781244753392,0
demand2,truck49,680.0713394058387,0
demand2,truck53,243.3271069354977,7
demand2,truck44,378.458792300638,0
demand2,truck47,392.41956609022037,0
demand2,truck55,581.8418020532891,0
demand11,truck1,365.8144800750022,0
demand11,truck7,296.537830201376,0
demand11,truck8,250.43514193574634,1
demand11,truck9,173.94659592403326,3
demand11,truck10,206.6606155435903,2
demand11,truck11,244.56945063237086,1
demand11,truck12,210.58899337302893,2
demand11,truck14,169.4054166251489,3
demand11,truck22,169.48435632994574,3
demand11,truck23,228.95340850177726,1
demand11,truck27,265.47758133581965,1
demand11,truck29,211.94839262857775,2
demand11,truck30,219.47138436038134,2
demand11,truck33,327.01350175334073,0
demand11,truck35,254.05092610218213,1
demand11,truck36,277.13499360447656,0
demand11,truck40,435.6407015893861,0
demand11,truck42,362.0001176413275,0
demand11,truck45,376.52075527630336,0
demand11,truck46,406.71074152741465,0
demand11,truck48,501.22940838704966,0
demand11,truck49,474.2226233175491,0
demand11,truck53,149.68702770771952,3
demand11,truck44,172.61007621234842,3
demand11,truck47,186.57085000193078,2
demand11,truck55,375.9930859649996,0
demand12,truck1,307.3805327790353,0
demand12,truck7,238.103882905409,7
demand12,truck8,190.05043394836605,13
demand12,truck9,113.3143871471586,21
demand12,truck10,214.1168457822481,10
demand12,truck11,251.70351618531112,6
demand12,truck12,149.95678459615428,17
demand12,truck14,168.1753919920475,15
demand12,truck22,251.4919762626512,6
demand12,truck23,227.72338386867588,8
demand12,truck27,293.8910185703953,1
demand12,truck29,322.92700485598783,0
demand12,truck30,330.4499965877914,0
demand12,truck33,437.99211398075084,0
demand12,truck35,365.0295383295922,0
demand12,truck36,388.1136058318867,0
demand12,truck40,445.0726949862603,0
demand12,truck42,472.9787298687376,0
demand12,truck45,487.4993675037135,0
demand12,truck46,517.6893537548248,0
demand12,truck48,612.2080206144598,0
demand12,truck49,585.2012355449592,0
demand12,truck53,148.45700307461814,17
demand12,truck44,283.58868843975847,2
demand12,truck47,297.54946222934086,0
demand12,truck55,486.9716981924097,0
demand14,truck1,313.0633615717594,0
demand14,truck7,243.78671169813313,1
demand14,truck8,195.7332627410902,3
demand14,truck9,118.99721593988276,5
demand14,truck10,219.7996745749723,2
demand14,truck11,257.3863449780353,1
demand14,truck12,155.63961338887844,4
demand14,truck14,151.2862105072712,4
demand14,truck22,257.1748050553754,1
demand14,truck23,210.83420238389957,2
demand14,truck27,277.00183708561906,1
demand14,truck29,306.0378233712115,0
demand14,truck30,313.5608151030151,0
demand14,truck33,421.1029324959745,0
demand14,truck35,348.14035684481587,0
demand14,truck36,371.22442434711036,0
demand14,truck40,428.183513501484,0
demand14,truck42,456.0895483839613,0
demand14,truck45,470.61018601893716,0
demand14,truck46,500.80017227004845,0
demand14,truck48,595.3188391296834,0
demand14,truck49,568.3120540601828,0
demand14,truck53,131.56782158984183,4
demand14,truck44,266.69950695498216,1
demand14,truck47,280.66028074456455,0
demand14,truck55,470.0825167076334,0
demand15,truck1,198.12184804024187,29
demand15,truck7,128.84519816661552,49
demand15,truck8,80.79174920957256,57
demand15,truck9,152.56666042267534,42
demand15,truck10,253.36911905776486,13
demand15,truck11,278.2081835635742,6
demand15,truck12,176.46145197441737,35
demand15,truck14,106.83487901464807,55
demand15,truck22,290.74424953816794,3
demand15,truck23,167.2672402979919,38
demand15,truck27,275.98440667459823,7
demand15,truck29,411.31048982519496,0
demand15,truck30,418.83348155699855,0
demand15,truck33,526.375598949958,0
demand15,truck35,453.4130232987993,0
demand15,truck36,476.4263819913187,0
demand15,truck40,384.61655141557634,0
demand15,truck42,561.2915060281696,0
demand15,truck45,575.8828524729206,0
demand15,truck46,606.072838724032,0
demand15,truck48,700.5915055836668,0
demand15,truck49,673.5847205141663,0
demand15,truck53,236.8404880438253,18
demand15,truck44,371.9721734089656,0
demand15,truck47,385.932947198548,0
demand15,truck55,575.3551831616168,0
demand16,truck1,227.81756052314952,17
demand16,truck7,158.5409106495232,34
demand16,truck8,163.41396295977228,33
demand16,truck9,235.18887417287505,16
demand16,truck10,335.99133280796457,0
demand16,truck11,360.830397313774,0
demand16,truck12,259.0836657246171,10
demand16,truck14,82.38423764917482,48
demand16,truck22,345.2682089239827,0
demand16,truck23,142.81659893251864,38
demand16,truck27,251.53376530912502,12
demand16,truck29,386.8598484597217,0
demand16,truck30,394.3828401915253,0
demand16,truck33,501.92495758448473,0
demand16,truck35,428.96238193332607,0
demand16,truck36,451.97574062584545,0
demand16,truck40,360.16591005010315,0
demand16,truck42,536.8408646626963,0
demand16,truck45,551.4322111074474,0
demand16,truck46,581.6221973585588,0
demand16,truck48,676.1408642181937,0
demand16,truck49,649.1340791486931,0
demand16,truck53,212.38984667835206,21
demand16,truck44,347.52153204349236,0
demand16,truck47,361.48230583307475,0
demand16,truck55,550.9045417961436,0
demand17,truck1,335.868434603852,0
demand17,truck7,266.5917847302257,8
demand17,truck8,220.48909646459612,18
demand17,truck9,292.2640076776989,2
demand17,truck10,393.0664663127884,0
demand17,truck11,417.9055308185978,0
demand17,truck12,316.15879922944094,0
demand17,truck14,139.45937115399866,37
demand17,truck22,402.3433424288065,0
demand17,truck23,112.76461203015802,43
demand17,truck27,221.48177840676445,18
